,Column_1,Column_2,Column_3
0,2Sherryazar1956,jimmichael720,Retweet
1,jimmichael720,jimmichael720,Tweet
2,TrueCrimePoli,ChrisStigall,Retweet
3,ChrisStigall,ChrisStigall,Tweet
4,WintWahLwin15,ForeignPolicy,Retweet
5,ForeignPolicy,ForeignPolicy,Tweet
6,england_donald,CoryMillsFL,Retweet
7,CoryMillsFL,CoryMillsFL,Tweet
8,Brenda18291262,Chicago1Ray,Retweet
9,Chicago1Ray,Chicago1Ray,Tweet
10,schotts,mikepompeo,Retweet
11,mikepompeo,mikepompeo,Tweet
12,TheProducteer,billroggio,Retweet
13,billroggio,billroggio,Tweet
14,JaneSin98236872,Chicago1Ray,Retweet
17,GlenWoo44182792,GOPChairwoman,Retweet
18,GOPChairwoman,GOPChairwoman,Tweet
19,ShooterSharon,Chicago1Ray,Retweet
21,mari__zen,imUrB00gieman,Retweet
22,imUrB00gieman,imUrB00gieman,Tweet
23,Allwaystruthfu1,imUrB00gieman,Retweet
25,Shelby2Phillip,RepFranklin,Retweet
26,RepFranklin,RepFranklin,Tweet
27,MirageNewsCom,MirageNewsCom,Tweet
28,purpledalmation,BenjySarlin,Retweet
29,BenjySarlin,BenjySarlin,Tweet
30,becky_tull,Chicago1Ray,Retweet
32,JohnCro67300259,jihadwatchRS,Retweet
33,jihadwatchRS,jihadwatchRS,Tweet
34,RogrRabbitsGirl,imUrB00gieman,Retweet
36,hollyh78,SoCalValleyGal,Retweet
37,SoCalValleyGal,SoCalValleyGal,Tweet
38,Xpompier77,NextRevFNC,Retweet
39,NextRevFNC,NextRevFNC,Tweet
40,JD53724639,seanhannity,Retweet
41,seanhannity,seanhannity,Tweet
42,kyle_chap17,mehrdadnegahban,Reply
43,kyle_chap17,KelleyMac1,Reply
44,kyle_chap17,AaronParnas,Reply
45,kyle_chap17,TerryMcAuliffe,Reply
46,Retired_Cop1019,Chicago1Ray,Retweet
48,ConservaivGenie,ConservaivGenie,Tweet
49,GloriaJRomero,GOPChairwoman,Retweet
